geneID	DGRP.177	SP.159N
FBgn0011592	427	393
FBgn0011604	501	528
FBgn0011638	462	476
FBgn0011640	168	209
FBgn0011642	472	412
FBgn0011648	833	810
FBgn0011655	174	175
FBgn0011656	985	1096
FBgn0011660	94	87
FBgn0011661	6701	6363
FBgn0011666	2078	2195
FBgn0011672	988	1034
FBgn0011674	171	120
FBgn0011703	37	43
FBgn0011704	39	28
FBgn0011705	5212	5669
FBgn0011708	1281	1199
FBgn0011710	285	249
FBgn0011715	206	174
FBgn0011725	1143	1240
FBgn0011737	514	626
FBgn0011739	1861	1775
FBgn0011740	330	315
FBgn0011741	290	240
FBgn0011742	405	384
FBgn0011745	1133	1067
FBgn0011747	1707	2006
FBgn0011754	3218	3056
FBgn0011760	7290	6014
FBgn0011762	68	58
FBgn0011763	335	352
FBgn0011766	1761	1582
FBgn0011768	917	1552
FBgn0011770	4400	4538
FBgn0011774	162	173
FBgn0011785	475	373
FBgn0011787	150	182
FBgn0011802	238	202
FBgn0011817	1332	1311
FBgn0011818	574	592
FBgn0011824	281	304
FBgn0011826	1183	1431
FBgn0011828	2243	2377
FBgn0011836	341	321
FBgn0011837	1356	1614
FBgn0012034	14959	15584
FBgn0012036	27217	28497
FBgn0012037	1015	1552
FBgn0012051	2005	2243
FBgn0012058	707	763
FBgn0013263	207	231
FBgn0013269	147	163
FBgn0013272	7562	7363
FBgn0013305	7658	5644
FBgn0013325	18257	16864
FBgn0013334	6585	9833
FBgn0013343	2602	2601
FBgn0013347	915	891
FBgn0013432	91	104
FBgn0013435	142	156
FBgn0013531	114	91
FBgn0013548	116	89
FBgn0013563	312	256
FBgn0013576	3944	4094
FBgn0013672	45068	125
FBgn0013674	166599	2044
FBgn0013675	162657	651
FBgn0013676	85556	184
FBgn0013679	30480	2140
FBgn0013680	583	8
FBgn0013684	20367	26
FBgn0013685	1688	4
FBgn0013686	413	343
FBgn0013717	235	235
FBgn0013718	4269	4003
FBgn0013726	110	108
FBgn0013732	73	80
FBgn0013733	15228	14827
FBgn0013746	1383	1656
FBgn0013750	760	708
FBgn0013753	130	143
FBgn0013756	512	503
FBgn0013759	2225	2438
FBgn0013762	583	499
FBgn0013763	39328	33787
FBgn0013764	564	544
FBgn0013765	1664	1008
FBgn0013770	8609	8691
FBgn0013771	927	2132
FBgn0013772	19391	18213
FBgn0013773	878	1555
FBgn0013953	84	91
FBgn0013954	1914	2261
FBgn0013981	3494	3776
FBgn0013983	806	755
FBgn0013987	1864	1774
FBgn0013995	3223	3290
FBgn0013997	1899	2014
FBgn0014000	4850	4795
FBgn0014006	663	648
FBgn0014007	688	718
FBgn0014009	461	470
FBgn0014010	5000	5124
FBgn0014011	1180	930
FBgn0014020	3208	3113
FBgn0014024	649	722
FBgn0014026	33555	34732
FBgn0014029	547	607
FBgn0014031	12477	12670
FBgn0014032	484	578
FBgn0014037	1124	1268
FBgn0014075	1245	1286
FBgn0014092	214	242
FBgn0014127	88	74
FBgn0014133	2432	2174
FBgn0014141	1422	1405
FBgn0014163	3798	3695
FBgn0014189	1360	1349
FBgn0014269	386	393
FBgn0014340	145	146
FBgn0014366	50	64
FBgn0014388	1388	1428
FBgn0014391	5140	4701
FBgn0014396	11525	11332
FBgn0014411	508	480
FBgn0014417	697	919
FBgn0014427	16666	17159
FBgn0014455	3405	4183
FBgn0014464	99	64
FBgn0014469	10416	9223
FBgn0014857	580	514
FBgn0014868	1140	1259
FBgn0014869	7915	8292
FBgn0014870	563	615
FBgn0014877	651	592
FBgn0014879	328	337
FBgn0014906	1057	1215
FBgn0015000	501	455
FBgn0015019	318	282
FBgn0015024	4931	5587
FBgn0015025	82	81
FBgn0015031	876	668
FBgn0015039	3851	4778
FBgn0015075	63	62
FBgn0015218	3772	3494
FBgn0015221	20409	19857
FBgn0015222	8150	8571
FBgn0015229	841	740
FBgn0015239	106	130
FBgn0015240	204	216
FBgn0015245	3837	2782
FBgn0015247	862	806
FBgn0015277	573	810
FBgn0015278	871	934
FBgn0015279	834	864
FBgn0015282	1160	1212
FBgn0015283	393	400
FBgn0015286	715	591
FBgn0015288	7293	7250
FBgn0015295	314	303
FBgn0015296	419	481
FBgn0015298	136	126
FBgn0015320	514	542
FBgn0015321	832	894
FBgn0015338	605	638
FBgn0015351	115	179
FBgn0015359	112	108
FBgn0015360	656	638
FBgn0015371	1754	1741
FBgn0015372	386	360
FBgn0015379	136	98
FBgn0015391	125	121
FBgn0015396	24	33
FBgn0015399	1228	1318
FBgn0015477	850	791
FBgn0015509	249	235
FBgn0015513	1988	1984
FBgn0015520	178	139
FBgn0015521	536	371
FBgn0015522	1012	1191
FBgn0015527	203	186
FBgn0015544	141	144
FBgn0015546	291	289
FBgn0015553	76	77
FBgn0015569	1165	1110
FBgn0015577	606	671
FBgn0015582	209	227
FBgn0015589	1692	1748
FBgn0015600	438	441
FBgn0015602	434	399
FBgn0015614	1282	1440
FBgn0015615	411	390
FBgn0015618	101	112
FBgn0015621	69	61
FBgn0015622	18497	17454
FBgn0015623	7673	3431
FBgn0015664	628	649
FBgn0015737	3979	4125
FBgn0015754	2832	2881
FBgn0015756	13948	13777
FBgn0015765	263	277
FBgn0015766	24433	24840
FBgn0015772	1341	1224
FBgn0015776	5714	6197
FBgn0015777	5249	6002
FBgn0015778	2663	2264
FBgn0015781	533	510
FBgn0015789	1672	1833
FBgn0015790	4015	3704
FBgn0015791	3094	2705
FBgn0015793	545	898
FBgn0015794	536	547
FBgn0015795	3207	2952
FBgn0015797	617	631
FBgn0015799	318	276
FBgn0015801	679	748
FBgn0015803	307	275
FBgn0015805	690	693
FBgn0015808	2626	2175
FBgn0015818	129	146
FBgn0015828	505	484
FBgn0015829	406	492
FBgn0015834	4667	4402
FBgn0015838	266	298
FBgn0015872	840	1272
FBgn0015903	312	229
FBgn0015905	225	207
FBgn0015924	2149	2102
FBgn0015925	199	194
FBgn0015929	78	56
FBgn0015949	827	854
FBgn0016031	1599	1470
FBgn0016038	358	417
FBgn0016041	626	626
FBgn0016059	1820	1943
FBgn0016070	1059	1156
FBgn0016075	3670	3112
FBgn0016076	3056	3064
FBgn0016078	1008	676
FBgn0016081	4432	5639
FBgn0016119	5962	6210
FBgn0016120	4037	4218
FBgn0016122	10447	9403
FBgn0016123	932	1249
FBgn0016131	332	282
FBgn0016641	1031	1116
FBgn0016672	4682	4854
FBgn0016685	280	563
FBgn0016687	2188	2303
FBgn0016693	952	1053
